     ID    LATITUDE   LONGITUDE    ALTITUDE  MM DD YYYY HH MM SS   TEMP     PRCP    WIND   PRESS 
NWS002AL   34.191439  -86.636006      725.00  4 18 2019 22 40 29   82.00    0.40    5.22   33.09
NWS015AL   34.871914  -86.306360      978.00  4  6 2019 17  1 27   79.00    1.90    5.92   33.19
NWS010AL   35.043812  -85.436362     1125.00  4  7 2019 15 24  2   79.00    2.92    3.67   32.87
NWS008AL   35.141938  -85.366461      500.00  4  9 2019 23 47  6   73.00    1.00    2.67   32.73
NWS010AL   35.043812  -85.436362     1125.00  4 20 2019 19 54 23   73.00    0.18    6.96   30.38
NWS015AL   34.871914  -86.306360      978.00  4 22 2019  7 53 28   81.00    2.53    6.22   30.92
NWS010AL   35.043812  -85.436362     1125.00  4 20 2019 11 21 49   80.00    2.76    6.32   30.46
NWS005AL   34.914387  -86.360065      891.00  4 19 2019 10 40  2   70.00    0.73    2.12   31.58
NWS001AL   34.719144  -86.463601      650.00  4 10 2019 10 50  6   83.00    0.12    3.44   29.90
NWS009AL   34.438719  -86.506463     1200.00  4 25 2019 10 36 20   76.00    1.52    3.14   31.56
NWS015AL   34.871914  -86.306360      978.00  4 10 2019  2 43 17   72.00    1.65    4.80   32.84
NWS002AL   34.191439  -86.636006      725.00  4  4 2019 11 19 18   70.00    2.98    3.60   32.02
NWS009AL   34.438719  -86.506463     1200.00  4  7 2019  5  5 44   70.00    2.50    2.22   31.24
NWS009AL   34.438719  -86.506463     1200.00  4 28 2019  0 46 30   79.00    2.75    7.28   31.18
NWS012AL   35.071911  -85.646360     1350.00  4  5 2019 23 52 50   84.00    0.85    0.97   33.39
NWS001AL   34.719144  -86.463601      650.00  4 28 2019 23  7 57   71.00    2.47    5.19   32.63
NWS012AL   35.071911  -85.646360     1350.00  4 30 2019  1 38 41   82.00    1.01    1.15   33.52
NWS001AL   34.719144  -86.463601      650.00  4  4 2019  8  0 11   80.00    1.50    5.89   32.47
NWS015AL   34.871914  -86.306360      978.00  4 18 2019 20  3 55   79.00    2.91    3.20   31.71
NWS008AL   35.141938  -85.366461      500.00  4 15 2019  4 36 21   74.00    0.22    4.44   33.36
NWS002AL   34.191439  -86.636006      725.00  4 25 2019  5 19 18   72.00    2.78    5.84   29.91
NWS010AL   35.043812  -85.436362     1125.00  4  9 2019 13 48 43   85.00    0.13    6.93   30.04
NWS009AL   34.438719  -86.506463     1200.00  4  5 2019  5 56 35   81.00    1.32    4.43   33.87
NWS008AL   35.141938  -85.366461      500.00  4 29 2019 15 44 28   74.00    1.01    5.71   30.37
NWS012AL   35.071911  -85.646360     1350.00  4 26 2019 21  3 43   73.00    1.17    6.92   33.34
NWS001AL   34.719144  -86.463601      650.00  4 19 2019 18  0 56   84.00    2.31    3.65   31.57
NWS019AL   35.319141  -85.556360      550.00  4  8 2019  0 42 58   74.00    0.18    1.49   30.54
NWS010AL   35.043812  -85.436362     1125.00  4  9 2019 23 15 28   74.00    0.73    1.82   30.29
NWS005AL   34.914387  -86.360065      891.00  4 16 2019  0 26 22   76.00    2.13    3.98   32.10
NWS005AL   34.914387  -86.360065      891.00  4 25 2019  0 41 18   72.00    2.90    4.09   30.88
NWS010AL   35.043812  -85.436362     1125.00  4  7 2019  4 29 35   78.00    1.92    1.07   33.62
NWS019AL   35.319141  -85.556360      550.00  4 12 2019  0 21  9   77.00    1.69    1.96   29.64
NWS005AL   34.914387  -86.360065      891.00  4 26 2019 16 46 57   83.00    2.00    4.94   30.61
NWS015AL   34.871914  -86.306360      978.00  4 12 2019  5 56  9   70.00    0.97    5.99   29.34
NWS015AL   34.871914  -86.306360      978.00  4 20 2019  1 32 25   82.00    0.46    5.49   30.07
NWS009AL   34.438719  -86.506463     1200.00  4 20 2019  4  7 49   75.00    2.80    6.42   33.24
NWS009AL   34.438719  -86.506463     1200.00  4  6 2019  9 16 26   79.00    1.07    2.62   33.31
NWS015AL   34.871914  -86.306360      978.00  4 25 2019 13 56 31   80.00    2.23    3.08   32.07
NWS012AL   35.071911  -85.646360     1350.00  4 14 2019  0  8 32   71.00    0.99    5.22   31.65
NWS017AL   35.219142  -85.296361      625.00  4  7 2019 22  1  4   82.00    0.55    7.21   30.57
NWS012AL   35.071911  -85.646360     1350.00  4 21 2019 13 26 44   81.00    1.05    0.06   31.19
NWS015AL   34.871914  -86.306360      978.00  4 25 2019 14  5  9   72.00    1.86    4.69   33.67
NWS017AL   35.219142  -85.296361      625.00  4  9 2019 19  5 18   85.00    2.69    4.21   33.25
NWS015AL   34.871914  -86.306360      978.00  4 15 2019  0 54 14   74.00    2.93    6.19   29.14
NWS010AL   35.043812  -85.436362     1125.00  4  8 2019  6 17 13   84.00    2.58    2.65   30.58
NWS012AL   35.071911  -85.646360     1350.00  4 13 2019  8 53  7   72.00    1.86    0.89   30.20
NWS009AL   34.438719  -86.506463     1200.00  4  5 2019  7 32 41   75.00    0.00    1.98   33.71
NWS009AL   34.438719  -86.506463     1200.00  4 16 2019 23 32 22   76.00    2.83    2.48   32.85
NWS010AL   35.043812  -85.436362     1125.00  4 21 2019 21 14 50   72.00    2.35    3.95   30.72
NWS001AL   34.719144  -86.463601      650.00  4 27 2019 11 25 10   82.00    1.49    2.92   29.81
